T_e;T_w;COP;Pt
-20;35;1.78;4.45
-15;35;2.36;7.42
-7;35;2.50;7.80
-3;35;2.81;8.98
0;35;3.04;8.99
2;35;3.10;9.50
7;35;4.09;14.46
10;35;4.48;15.74
20;35;5.87;19.89
-20;45;1.70;3.00
-15;45;2.08;7.05
-7;45;2.20;7.65
-3;45;2.34;8.98
0;45;2.44;9.71
2;45;2.60;9.50
7;45;3.23;13.96
10;45;3.40;15.05
20;45;4.03;18.55
-20;55;1.62;1.26
-15;55;1.74;3.00
-7;55;1.85;7.35
-3;55;1.98;7.99
0;55;2.08;8.26
2;55;2.20;8.97
7;55;2.82;11.66
10;55;2.97;13.70
20;55;3.52;15.02
-20;60;1.49;1.22
-15;60;1.60;1.49
-7;60;1.64;6.57
-3;60;1.76;6.75
0;60;1.85;7.04
2;60;1.95;7.41
7;60;2.20;10.03
10;60;2.30;11.25
20;60;2.48;11.90
